name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Wilson Chandler,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,1833,2,5,0,0,2,2,3,2,1,2,3,2,1,8.4,22.1.2018
Trey Lyles,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,1442,3,7,1,3,2,2,1,5,1,2,2,2,3,8.4,22.1.2018
Devin Booker,PHOENIX SUNS,AWAY,MILWAUKEE BUCKS,LOSS,2167,2,14,1,6,9,9,0,4,8,3,0,5,4,8.2,22.1.2018
Eric Gordon,HOUSTON ROCKETS,HOME,MIAMI HEAT,WIN,1790,6,15,0,7,4,4,0,2,2,0,0,1,2,8.1,22.1.2018
Wayne Ellington,MIAMI HEAT,AWAY,HOUSTON ROCKETS,LOSS,2340,4,13,3,11,2,3,0,5,2,0,0,0,0,8.0,22.1.2018
Bam Adebayo,MIAMI HEAT,AWAY,HOUSTON ROCKETS,LOSS,1038,3,4,0,0,1,2,1,4,2,0,0,0,1,7.9,22.1.2018
Yogi Ferrell,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,1839,6,16,2,6,0,0,1,4,2,1,0,0,4,7.9,22.1.2018
Jameer Nelson,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,1115,3,7,3,6,0,0,1,2,2,1,0,0,3,7.8,22.1.2018
P.J. Tucker,HOUSTON ROCKETS,HOME,MIAMI HEAT,WIN,1438,3,5,3,4,0,0,0,3,0,1,0,0,2,7.8,22.1.2018
Kent Bazemore,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,1361,4,9,3,5,0,0,0,0,1,2,1,2,0,7.7,22.1.2018
Malcolm Delaney,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,1411,2,5,2,2,1,1,0,1,8,1,1,3,3,7.7,22.1.2018
Royce O'Neale,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,1223,4,9,0,0,2,3,0,5,3,0,0,0,2,7.7,22.1.2018
