team,opp,treatment,year,rest3.,rest1,rest2,points
INDIANA PACERS,ATLANTA HAWKS,1,2007,0,0,0,113
BOSTON CELTICS,DENVER NUGGETS,1,2007,0,0,1,119
NEW JERSEY NETS,CHICAGO BULLS,1,2008,0,0,0,87
MINNESOTA TIMBERWOLVES,GOLDEN STATE WARRIORS,1,2007,0,0,0,98
GOLDEN STATE WARRIORS,WASHINGTON WIZARDS,1,2007,0,1,0,120
PORTLAND TRAIL BLAZERS,DENVER NUGGETS,1,2006,0,0,0,100
NEW YORK KNICKS,PHILADELPHIA 76ERS,1,2007,0,0,0,77
CLEVELAND CAVALIERS,WASHINGTON WIZARDS,1,2008,-1,0,1,98
DALLAS MAVERICKS,SAN ANTONIO SPURS,1,2007,0,-1,1,81
MINNESOTA TIMBERWOLVES,NEW YORK KNICKS,1,2008,0,0,0,94
LOS ANGELES LAKERS,NEW JERSEY NETS,1,2006,0,0,0,99
MINNESOTA TIMBERWOLVES,BOSTON CELTICS,1,2005,0,1,0,110
ATLANTA HAWKS,NEW YORK KNICKS,1,2006,0,0,0,102
ATLANTA HAWKS,SAN ANTONIO SPURS,1,2004,0,0,0,88
DETROIT PISTONS,WASHINGTON WIZARDS,1,2004,0,0,1,105
NEW JERSEY NETS,CLEVELAND CAVALIERS,1,2008,0,0,0,82
MIAMI HEAT,DALLAS MAVERICKS,1,2005,0,1,-1,90
DETROIT PISTONS,NEW YORK KNICKS,1,2005,0,0,0,106
MEMPHIS GRIZZLIES,NEW ORLEANS HORNETS,1,2004,0,-1,0,84
GOLDEN STATE WARRIORS,PHOENIX SUNS,1,2005,1,0,0,110
PHILADELPHIA 76ERS,WASHINGTON WIZARDS,1,2007,0,-1,0,101
PHILADELPHIA 76ERS,LOS ANGELES CLIPPERS,1,2008,0,0,0,89
LOS ANGELES LAKERS,ORLANDO MAGIC,1,2006,0,0,0,109
DETROIT PISTONS,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,2005,0,0,0,101
PHILADELPHIA 76ERS,MILWAUKEE BUCKS,1,2005,1,0,0,85
PHILADELPHIA 76ERS,HOUSTON ROCKETS,1,2004,0,0,0,95
MILWAUKEE BUCKS,ATLANTA HAWKS,1,2008,1,0,0,105
GOLDEN STATE WARRIORS,MINNESOTA TIMBERWOLVES,1,2006,1,0,-1,106
PHOENIX SUNS,GOLDEN STATE WARRIORS,1,2005,0,1,0,101
PHOENIX SUNS,HOUSTON ROCKETS,1,2006,0,0,1,102
SACRAMENTO KINGS,NEW YORK KNICKS,1,2005,0,0,0,95
MEMPHIS GRIZZLIES,PHOENIX SUNS,1,2006,0,0,0,122
MINNESOTA TIMBERWOLVES,HOUSTON ROCKETS,1,2005,0,0,0,87
SACRAMENTO KINGS,GOLDEN STATE WARRIORS,1,2007,0,0,0,96
CHICAGO BULLS,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,2005,0,1,0,96
NEW ORLEANS/OKLAHOMA CITY HORNETS,LOS ANGELES LAKERS,1,2005,0,0,0,107
DALLAS MAVERICKS,HOUSTON ROCKETS,1,2006,0,1,-1,95
MIAMI HEAT,LOS ANGELES LAKERS,1,2007,0,-1,1,94
MINNESOTA TIMBERWOLVES,PHOENIX SUNS,1,2008,0,0,1,97
MIAMI HEAT,NEW JERSEY NETS,1,2006,0,-1,1,91
ATLANTA HAWKS,PHILADELPHIA 76ERS,1,2005,0,-1,1,111
NEW JERSEY NETS,NEW ORLEANS HORNETS,1,2007,0,1,0,82
NEW YORK KNICKS,INDIANA PACERS,1,2004,0,0,0,79
DALLAS MAVERICKS,LOS ANGELES CLIPPERS,1,2008,0,0,0,100
CHICAGO BULLS,MIAMI HEAT,1,2007,0,0,0,99
HOUSTON ROCKETS,DETROIT PISTONS,1,2007,0,1,0,80
UTAH JAZZ,HOUSTON ROCKETS,1,2007,0,0,0,95
NEW YORK KNICKS,TORONTO RAPTORS,1,2005,-1,1,0,109
DENVER NUGGETS,PHOENIX SUNS,1,2006,0,0,0,108
