team,opp,treatment,year,rest3.,rest1,rest2,points
ATLANTA HAWKS,PORTLAND TRAIL BLAZERS,0,2004,0,0,0,101
BOSTON CELTICS,UTAH JAZZ,0,2004,0,0,0,109
PHOENIX SUNS,DALLAS MAVERICKS,0,2004,0,-1,1,124
SACRAMENTO KINGS,PHILADELPHIA 76ERS,0,2004,0,0,0,101
MEMPHIS GRIZZLIES,SAN ANTONIO SPURS,0,2004,0,0,-1,84
DETROIT PISTONS,GOLDEN STATE WARRIORS,0,2004,-1,1,0,94
ATLANTA HAWKS,LOS ANGELES CLIPPERS,0,2004,0,1,-1,104
SEATTLE SUPERSONICS,MILWAUKEE BUCKS,0,2004,0,0,0,73
CLEVELAND CAVALIERS,NEW JERSEY NETS,0,2004,0,0,0,98
MIAMI HEAT,ORLANDO MAGIC,0,2004,0,0,0,112
BOSTON CELTICS,PHOENIX SUNS,0,2004,0,1,0,120
SAN ANTONIO SPURS,CLEVELAND CAVALIERS,0,2004,0,1,0,94
NEW ORLEANS HORNETS,DALLAS MAVERICKS,0,2004,0,-1,0,86
SACRAMENTO KINGS,CHARLOTTE BOBCATS,0,2004,0,1,-1,87
HOUSTON ROCKETS,CHICAGO BULLS,0,2004,0,1,-1,119
DETROIT PISTONS,PORTLAND TRAIL BLAZERS,0,2004,0,0,0,103
SEATTLE SUPERSONICS,CLEVELAND CAVALIERS,0,2004,0,-1,0,103
CHARLOTTE BOBCATS,NEW ORLEANS HORNETS,0,2004,0,-1,0,85
INDIANA PACERS,DENVER NUGGETS,0,2004,0,0,0,87
MIAMI HEAT,NEW JERSEY NETS,0,2004,1,0,0,106
MILWAUKEE BUCKS,MINNESOTA TIMBERWOLVES,0,2004,0,-1,1,97
CHICAGO BULLS,SAN ANTONIO SPURS,0,2004,0,-1,1,99
DETROIT PISTONS,SEATTLE SUPERSONICS,0,2004,0,-1,0,87
WASHINGTON WIZARDS,CHARLOTTE BOBCATS,0,2004,0,0,0,86
ORLANDO MAGIC,NEW JERSEY NETS,0,2004,0,-1,0,105
MINNESOTA TIMBERWOLVES,BOSTON CELTICS,0,2004,0,0,0,99
DALLAS MAVERICKS,HOUSTON ROCKETS,0,2004,-1,1,0,69
TORONTO RAPTORS,NEW ORLEANS HORNETS,0,2004,0,0,0,95
PHOENIX SUNS,SEATTLE SUPERSONICS,0,2004,0,-1,0,110
TORONTO RAPTORS,DALLAS MAVERICKS,0,2004,0,0,0,105
PORTLAND TRAIL BLAZERS,DENVER NUGGETS,0,2004,0,0,0,98
PHILADELPHIA 76ERS,MIAMI HEAT,0,2004,0,1,0,100
GOLDEN STATE WARRIORS,PHILADELPHIA 76ERS,0,2004,0,1,0,104
NEW JERSEY NETS,SAN ANTONIO SPURS,0,2004,0,-1,1,74
ATLANTA HAWKS,BOSTON CELTICS,0,2004,0,0,-1,91
GOLDEN STATE WARRIORS,DETROIT PISTONS,0,2004,0,0,-1,88
ORLANDO MAGIC,TORONTO RAPTORS,0,2004,0,-1,0,96
LOS ANGELES LAKERS,DALLAS MAVERICKS,0,2004,0,1,-1,100
GOLDEN STATE WARRIORS,INDIANA PACERS,0,2004,0,1,-1,83
MINNESOTA TIMBERWOLVES,ORLANDO MAGIC,0,2004,0,-1,0,101
CHARLOTTE BOBCATS,PHILADELPHIA 76ERS,0,2004,0,0,0,80
LOS ANGELES CLIPPERS,SACRAMENTO KINGS,0,2004,0,0,0,112
CHICAGO BULLS,SEATTLE SUPERSONICS,0,2004,0,1,-1,100
MEMPHIS GRIZZLIES,UTAH JAZZ,0,2004,0,0,0,94
LOS ANGELES LAKERS,CHARLOTTE BOBCATS,0,2004,0,1,0,117
DENVER NUGGETS,SAN ANTONIO SPURS,0,2004,1,0,-1,90
INDIANA PACERS,CLEVELAND CAVALIERS,0,2004,-1,1,0,86
UTAH JAZZ,DETROIT PISTONS,0,2004,0,0,0,62
NEW JERSEY NETS,ORLANDO MAGIC,0,2004,0,-1,0,98
HOUSTON ROCKETS,SACRAMENTO KINGS,0,2004,0,0,0,111
DETROIT PISTONS,ATLANTA HAWKS,0,2004,0,-1,0,114
PORTLAND TRAIL BLAZERS,MEMPHIS GRIZZLIES,0,2004,0,0,0,83
UTAH JAZZ,CLEVELAND CAVALIERS,0,2004,0,0,0,73
MINNESOTA TIMBERWOLVES,DALLAS MAVERICKS,0,2004,0,0,0,100
MIAMI HEAT,NEW YORK KNICKS,0,2004,0,-1,0,98
LOS ANGELES LAKERS,PHILADELPHIA 76ERS,0,2004,0,-1,0,91
ORLANDO MAGIC,SACRAMENTO KINGS,0,2004,0,0,0,94
WASHINGTON WIZARDS,ATLANTA HAWKS,0,2004,0,0,0,122
CHARLOTTE BOBCATS,DENVER NUGGETS,0,2004,0,1,-1,101
SEATTLE SUPERSONICS,DETROIT PISTONS,0,2004,0,-1,0,95
CLEVELAND CAVALIERS,MILWAUKEE BUCKS,0,2004,0,-1,0,88
MEMPHIS GRIZZLIES,NEW ORLEANS HORNETS,0,2004,0,0,0,88
LOS ANGELES LAKERS,MIAMI HEAT,0,2004,0,0,0,89
NEW ORLEANS HORNETS,CHICAGO BULLS,0,2004,0,0,0,94
PHILADELPHIA 76ERS,CLEVELAND CAVALIERS,0,2004,0,-1,1,93
LOS ANGELES CLIPPERS,DENVER NUGGETS,0,2004,0,0,0,96
BOSTON CELTICS,HOUSTON ROCKETS,0,2004,0,0,0,103
LOS ANGELES LAKERS,INDIANA PACERS,0,2004,0,-1,0,97
MINNESOTA TIMBERWOLVES,MEMPHIS GRIZZLIES,0,2004,0,0,0,83
UTAH JAZZ,NEW JERSEY NETS,0,2004,0,0,0,80
GOLDEN STATE WARRIORS,PHOENIX SUNS,0,2004,-1,0,0,110
CHARLOTTE BOBCATS,DALLAS MAVERICKS,0,2004,0,-1,0,93
BOSTON CELTICS,NEW ORLEANS HORNETS,0,2004,0,0,0,113
CHICAGO BULLS,PHILADELPHIA 76ERS,0,2004,0,0,0,94
SAN ANTONIO SPURS,DETROIT PISTONS,0,2004,0,0,0,101
HOUSTON ROCKETS,MINNESOTA TIMBERWOLVES,0,2004,0,0,0,86
GOLDEN STATE WARRIORS,SACRAMENTO KINGS,0,2004,0,1,0,104
CLEVELAND CAVALIERS,TORONTO RAPTORS,0,2004,0,0,0,98
ATLANTA HAWKS,CHICAGO BULLS,0,2004,0,-1,1,91
PORTLAND TRAIL BLAZERS,LOS ANGELES CLIPPERS,0,2004,0,0,0,89
WASHINGTON WIZARDS,DENVER NUGGETS,0,2004,0,-1,1,98
MIAMI HEAT,HOUSTON ROCKETS,0,2004,0,-1,1,82
PORTLAND TRAIL BLAZERS,SACRAMENTO KINGS,0,2004,0,-1,0,93
MILWAUKEE BUCKS,SEATTLE SUPERSONICS,0,2004,0,0,0,84
LOS ANGELES LAKERS,UTAH JAZZ,0,2004,0,1,-1,107
PHOENIX SUNS,CHARLOTTE BOBCATS,0,2004,0,-1,0,120
SAN ANTONIO SPURS,INDIANA PACERS,0,2004,0,1,0,93
MILWAUKEE BUCKS,LOS ANGELES CLIPPERS,0,2004,0,-1,0,108
NEW ORLEANS HORNETS,MINNESOTA TIMBERWOLVES,0,2004,0,1,-1,102
BOSTON CELTICS,NEW YORK KNICKS,0,2004,1,-1,0,82
DETROIT PISTONS,PHILADELPHIA 76ERS,0,2004,-1,0,0,84
LOS ANGELES LAKERS,DENVER NUGGETS,0,2004,0,0,0,96
CLEVELAND CAVALIERS,HOUSTON ROCKETS,0,2004,0,0,0,80
CHARLOTTE BOBCATS,ORLANDO MAGIC,0,2004,0,0,-1,108
DALLAS MAVERICKS,SACRAMENTO KINGS,0,2004,0,-1,0,101
WASHINGTON WIZARDS,LOS ANGELES CLIPPERS,0,2004,0,-1,0,94
TORONTO RAPTORS,PHILADELPHIA 76ERS,0,2004,0,0,0,101
ATLANTA HAWKS,SAN ANTONIO SPURS,0,2004,0,-1,1,95
MIAMI HEAT,CHARLOTTE BOBCATS,0,2004,0,-1,0,92
CLEVELAND CAVALIERS,DALLAS MAVERICKS,0,2004,0,0,0,86
BOSTON CELTICS,DETROIT PISTONS,0,2004,0,0,0,99
NEW ORLEANS HORNETS,MEMPHIS GRIZZLIES,0,2004,0,-1,0,96
MINNESOTA TIMBERWOLVES,NEW JERSEY NETS,0,2004,0,-1,1,96
PHILADELPHIA 76ERS,LOS ANGELES LAKERS,0,2004,0,1,-1,96
LOS ANGELES CLIPPERS,MINNESOTA TIMBERWOLVES,0,2004,0,1,0,85
NEW JERSEY NETS,CHARLOTTE BOBCATS,0,2004,0,0,0,95
MEMPHIS GRIZZLIES,CHICAGO BULLS,0,2004,0,0,0,86
DALLAS MAVERICKS,DETROIT PISTONS,0,2004,0,0,0,95
CLEVELAND CAVALIERS,NEW ORLEANS HORNETS,0,2004,0,0,0,109
ATLANTA HAWKS,ORLANDO MAGIC,0,2004,0,0,0,102
WASHINGTON WIZARDS,PORTLAND TRAIL BLAZERS,0,2004,0,-1,0,114
HOUSTON ROCKETS,UTAH JAZZ,0,2004,0,-1,0,99
SEATTLE SUPERSONICS,MEMPHIS GRIZZLIES,0,2004,0,1,0,102
DALLAS MAVERICKS,BOSTON CELTICS,0,2004,-1,1,0,112
SACRAMENTO KINGS,DETROIT PISTONS,0,2004,0,0,0,82
GOLDEN STATE WARRIORS,MILWAUKEE BUCKS,0,2004,0,0,0,113
LOS ANGELES CLIPPERS,NEW JERSEY NETS,0,2004,0,-1,0,78
TORONTO RAPTORS,ORLANDO MAGIC,0,2004,0,-1,0,96
PHILADELPHIA 76ERS,PHOENIX SUNS,0,2004,0,0,0,87
HOUSTON ROCKETS,PORTLAND TRAIL BLAZERS,0,2004,0,0,0,100
SEATTLE SUPERSONICS,SAN ANTONIO SPURS,0,2004,0,0,-1,76
DENVER NUGGETS,UTAH JAZZ,0,2004,0,0,0,109
ATLANTA HAWKS,WASHINGTON WIZARDS,0,2004,0,0,0,99
CLEVELAND CAVALIERS,CHICAGO BULLS,0,2004,0,1,0,90
MINNESOTA TIMBERWOLVES,LOS ANGELES LAKERS,0,2004,1,-1,0,105
TORONTO RAPTORS,CHARLOTTE BOBCATS,0,2004,0,0,0,119
NEW ORLEANS HORNETS,HOUSTON ROCKETS,0,2004,1,-1,0,76
MEMPHIS GRIZZLIES,MILWAUKEE BUCKS,0,2004,0,-1,1,93
NEW JERSEY NETS,NEW YORK KNICKS,0,2004,0,1,-1,93
WASHINGTON WIZARDS,ORLANDO MAGIC,0,2004,0,0,0,111
MINNESOTA TIMBERWOLVES,PHOENIX SUNS,0,2004,0,-1,0,98
ORLANDO MAGIC,NEW JERSEY NETS,0,2004,0,0,0,103
MIAMI HEAT,NEW ORLEANS HORNETS,0,2004,0,1,0,111
LOS ANGELES LAKERS,SAN ANTONIO SPURS,0,2004,0,1,0,94
LOS ANGELES CLIPPERS,ATLANTA HAWKS,0,2004,0,0,0,111
PHILADELPHIA 76ERS,BOSTON CELTICS,0,2004,0,0,0,97
SEATTLE SUPERSONICS,GOLDEN STATE WARRIORS,0,2004,0,0,0,92
PHOENIX SUNS,HOUSTON ROCKETS,0,2004,0,0,0,91
LOS ANGELES LAKERS,MEMPHIS GRIZZLIES,0,2004,0,-1,0,82
NEW YORK KNICKS,MILWAUKEE BUCKS,0,2004,0,0,0,102
MINNESOTA TIMBERWOLVES,SACRAMENTO KINGS,0,2004,0,0,0,112
NEW ORLEANS HORNETS,ATLANTA HAWKS,0,2004,0,-1,1,96
ORLANDO MAGIC,DALLAS MAVERICKS,0,2004,0,-1,1,105
HOUSTON ROCKETS,GOLDEN STATE WARRIORS,0,2004,0,0,0,117
CHICAGO BULLS,MIAMI HEAT,0,2004,0,0,0,86
BOSTON CELTICS,WASHINGTON WIZARDS,0,2004,0,0,0,116
UTAH JAZZ,MINNESOTA TIMBERWOLVES,0,2004,0,0,-1,86
DENVER NUGGETS,NEW ORLEANS HORNETS,0,2004,0,0,0,94
CHARLOTTE BOBCATS,PHILADELPHIA 76ERS,0,2004,0,0,-1,103
GOLDEN STATE WARRIORS,PORTLAND TRAIL BLAZERS,0,2004,0,0,0,104
LOS ANGELES CLIPPERS,SAN ANTONIO SPURS,0,2004,-1,0,0,82
HOUSTON ROCKETS,LOS ANGELES LAKERS,0,2004,0,0,0,114
MIAMI HEAT,MEMPHIS GRIZZLIES,0,2004,0,-1,1,81
DENVER NUGGETS,MINNESOTA TIMBERWOLVES,0,2004,0,0,0,107
CHICAGO BULLS,NEW YORK KNICKS,0,2004,0,1,0,102
DETROIT PISTONS,ORLANDO MAGIC,0,2004,0,0,0,114
CLEVELAND CAVALIERS,PHILADELPHIA 76ERS,0,2004,0,0,0,98
ATLANTA HAWKS,TORONTO RAPTORS,0,2004,0,-1,1,101
MINNESOTA TIMBERWOLVES,ATLANTA HAWKS,0,2004,0,0,0,98
TORONTO RAPTORS,CHICAGO BULLS,0,2004,0,0,0,97
MILWAUKEE BUCKS,CLEVELAND CAVALIERS,0,2004,0,0,0,81
UTAH JAZZ,DALLAS MAVERICKS,0,2004,0,-1,0,81
SEATTLE SUPERSONICS,DENVER NUGGETS,0,2004,0,0,0,105
SAN ANTONIO SPURS,LOS ANGELES CLIPPERS,0,2004,0,1,-1,125
PHILADELPHIA 76ERS,WASHINGTON WIZARDS,0,2004,0,0,0,112
SAN ANTONIO SPURS,GOLDEN STATE WARRIORS,0,2004,0,-1,0,136
NEW YORK KNICKS,INDIANA PACERS,0,2004,0,0,0,113
CHARLOTTE BOBCATS,MEMPHIS GRIZZLIES,0,2004,0,0,0,95
PORTLAND TRAIL BLAZERS,NEW ORLEANS HORNETS,0,2004,0,0,0,90
LOS ANGELES LAKERS,SACRAMENTO KINGS,0,2004,0,0,0,105
CHARLOTTE BOBCATS,ATLANTA HAWKS,0,2004,0,-1,0,110
DETROIT PISTONS,CHICAGO BULLS,0,2004,0,-1,0,85
GOLDEN STATE WARRIORS,DENVER NUGGETS,0,2004,0,-1,0,106
CLEVELAND CAVALIERS,ORLANDO MAGIC,0,2004,0,1,-1,114
HOUSTON ROCKETS,SEATTLE SUPERSONICS,0,2004,0,0,0,90
TORONTO RAPTORS,NEW YORK KNICKS,0,2004,0,-1,0,105
PORTLAND TRAIL BLAZERS,SAN ANTONIO SPURS,0,2004,0,0,0,89
ATLANTA HAWKS,CHARLOTTE BOBCATS,0,2004,0,0,0,84
MEMPHIS GRIZZLIES,HOUSTON ROCKETS,0,2004,0,0,0,92
BOSTON CELTICS,MILWAUKEE BUCKS,0,2004,0,-1,0,111
DALLAS MAVERICKS,SEATTLE SUPERSONICS,0,2004,0,0,0,95
DALLAS MAVERICKS,PORTLAND TRAIL BLAZERS,0,2004,0,-1,0,102
MIAMI HEAT,BOSTON CELTICS,0,2004,0,-1,0,99
ORLANDO MAGIC,CHICAGO BULLS,0,2004,0,0,0,77
MILWAUKEE BUCKS,DETROIT PISTONS,0,2004,0,0,0,73
PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS,0,2004,0,-1,0,88
PHILADELPHIA 76ERS,INDIANA PACERS,0,2004,0,-1,0,90
LOS ANGELES CLIPPERS,PHOENIX SUNS,0,2004,0,0,0,91
NEW ORLEANS HORNETS,SEATTLE SUPERSONICS,0,2004,0,0,0,72
CLEVELAND CAVALIERS,WASHINGTON WIZARDS,0,2004,0,-1,0,111
CHICAGO BULLS,ATLANTA HAWKS,0,2004,0,0,-1,114
NEW YORK KNICKS,CHARLOTTE BOBCATS,0,2004,0,1,-1,100
DENVER NUGGETS,HOUSTON ROCKETS,0,2004,0,0,-1,87
ORLANDO MAGIC,MILWAUKEE BUCKS,0,2004,0,0,0,103
SACRAMENTO KINGS,PHOENIX SUNS,0,2004,0,0,0,98
MEMPHIS GRIZZLIES,SAN ANTONIO SPURS,0,2004,0,0,-1,75
SEATTLE SUPERSONICS,MINNESOTA TIMBERWOLVES,0,2004,0,0,0,109
PHILADELPHIA 76ERS,NEW JERSEY NETS,0,2004,0,0,0,83
ATLANTA HAWKS,NEW YORK KNICKS,0,2004,0,0,0,139
UTAH JAZZ,PORTLAND TRAIL BLAZERS,0,2004,0,0,0,82
SAN ANTONIO SPURS,MEMPHIS GRIZZLIES,0,2004,0,0,0,92
MINNESOTA TIMBERWOLVES,NEW ORLEANS HORNETS,0,2004,0,-1,0,102
INDIANA PACERS,ORLANDO MAGIC,0,2004,0,-1,0,88
SACRAMENTO KINGS,UTAH JAZZ,0,2004,0,1,0,82
NEW YORK KNICKS,CHICAGO BULLS,0,2004,0,1,-1,91
WASHINGTON WIZARDS,NEW JERSEY NETS,0,2004,0,0,0,101
NEW JERSEY NETS,BOSTON CELTICS,0,2004,0,0,0,102
DETROIT PISTONS,CHARLOTTE BOBCATS,0,2004,0,0,0,86
SEATTLE SUPERSONICS,HOUSTON ROCKETS,0,2004,0,-1,0,78
CHICAGO BULLS,INDIANA PACERS,0,2004,0,-1,0,83
DALLAS MAVERICKS,MEMPHIS GRIZZLIES,0,2004,0,-1,0,108
LOS ANGELES LAKERS,PORTLAND TRAIL BLAZERS,0,2004,0,1,0,103
CLEVELAND CAVALIERS,TORONTO RAPTORS,0,2004,0,0,0,104
INDIANA PACERS,MIAMI HEAT,0,2005,0,0,0,105
DETROIT PISTONS,BOSTON CELTICS,0,2005,0,0,0,82
MEMPHIS GRIZZLIES,ORLANDO MAGIC,0,2005,0,0,0,94
NEW JERSEY NETS,TORONTO RAPTORS,0,2005,0,0,0,102
BOSTON CELTICS,CHARLOTTE BOBCATS,0,2005,0,0,0,105
SAN ANTONIO SPURS,DALLAS MAVERICKS,0,2005,0,0,-1,84
TORONTO RAPTORS,DETROIT PISTONS,0,2005,0,0,0,84
NEW ORLEANS/OKLAHOMA CITY HORNETS,HOUSTON ROCKETS,0,2005,0,0,0,91
MINNESOTA TIMBERWOLVES,LOS ANGELES CLIPPERS,0,2005,0,0,0,99
CLEVELAND CAVALIERS,MEMPHIS GRIZZLIES,0,2005,0,0,0,106
ATLANTA HAWKS,PORTLAND TRAIL BLAZERS,0,2005,0,0,0,93
GOLDEN STATE WARRIORS,NEW YORK KNICKS,0,2005,0,0,0,83
SACRAMENTO KINGS,PHOENIX SUNS,0,2005,1,0,0,118
NEW JERSEY NETS,MIAMI HEAT,0,2005,0,0,0,89
LOS ANGELES LAKERS,ATLANTA HAWKS,0,2005,0,1,-1,103
GOLDEN STATE WARRIORS,MILWAUKEE BUCKS,0,2005,0,1,-1,110
SAN ANTONIO SPURS,CHARLOTTE BOBCATS,0,2005,0,0,0,94
MIAMI HEAT,INDIANA PACERS,0,2005,-1,1,0,90
LOS ANGELES LAKERS,MINNESOTA TIMBERWOLVES,0,2005,0,-1,0,74
UTAH JAZZ,NEW JERSEY NETS,0,2005,0,0,0,83
DALLAS MAVERICKS,PHILADELPHIA 76ERS,0,2005,0,0,0,97
LOS ANGELES CLIPPERS,ATLANTA HAWKS,0,2005,0,-1,0,102
HOUSTON ROCKETS,MIAMI HEAT,0,2005,0,1,0,84
DALLAS MAVERICKS,CHARLOTTE BOBCATS,0,2005,0,0,0,98
MEMPHIS GRIZZLIES,CLEVELAND CAVALIERS,0,2005,0,0,0,70
NEW YORK KNICKS,GOLDEN STATE WARRIORS,0,2005,0,0,0,84
NEW JERSEY NETS,INDIANA PACERS,0,2005,0,0,0,90
DETROIT PISTONS,PORTLAND TRAIL BLAZERS,0,2005,0,-1,0,84
DENVER NUGGETS,SACRAMENTO KINGS,0,2005,0,0,0,85
UTAH JAZZ,TORONTO RAPTORS,0,2005,-1,1,0,99
SEATTLE SUPERSONICS,WASHINGTON WIZARDS,0,2005,0,0,0,96
MEMPHIS GRIZZLIES,ATLANTA HAWKS,0,2005,0,-1,0,85
CHARLOTTE BOBCATS,MIAMI HEAT,0,2005,0,-1,0,99
HOUSTON ROCKETS,NEW JERSEY NETS,0,2005,0,1,0,99
DALLAS MAVERICKS,NEW ORLEANS/OKLAHOMA CITY HORNETS,0,2005,0,0,-1,109
HOUSTON ROCKETS,BOSTON CELTICS,0,2005,0,-1,0,82
MINNESOTA TIMBERWOLVES,DENVER NUGGETS,0,2005,1,-1,0,91
CLEVELAND CAVALIERS,ORLANDO MAGIC,0,2005,-1,1,0,108
LOS ANGELES CLIPPERS,PHILADELPHIA 76ERS,0,2005,0,-1,1,108
LOS ANGELES LAKERS,MEMPHIS GRIZZLIES,0,2005,0,-1,1,73
NEW YORK KNICKS,UTAH JAZZ,0,2005,0,-1,0,73
WASHINGTON WIZARDS,CLEVELAND CAVALIERS,0,2005,0,-1,1,99
MILWAUKEE BUCKS,LOS ANGELES CLIPPERS,0,2005,0,-1,1,85
HOUSTON ROCKETS,MINNESOTA TIMBERWOLVES,0,2005,0,0,0,94
SEATTLE SUPERSONICS,NEW JERSEY NETS,0,2005,0,1,-1,99
CHARLOTTE BOBCATS,ORLANDO MAGIC,0,2005,0,-1,1,77
UTAH JAZZ,SACRAMENTO KINGS,0,2005,0,-1,0,83
ATLANTA HAWKS,SAN ANTONIO SPURS,0,2005,0,0,0,79
SEATTLE SUPERSONICS,BOSTON CELTICS,0,2005,0,0,0,113
NEW YORK KNICKS,LOS ANGELES LAKERS,0,2005,0,0,0,92
DENVER NUGGETS,NEW ORLEANS/OKLAHOMA CITY HORNETS,0,2005,0,0,0,91
CHICAGO BULLS,PORTLAND TRAIL BLAZERS,0,2005,-1,1,0,93
ATLANTA HAWKS,DALLAS MAVERICKS,0,2005,0,0,0,78
HOUSTON ROCKETS,SAN ANTONIO SPURS,0,2005,0,0,0,80
ORLANDO MAGIC,CLEVELAND CAVALIERS,0,2005,0,0,0,84
DETROIT PISTONS,HOUSTON ROCKETS,0,2005,0,0,1,78
LOS ANGELES CLIPPERS,LOS ANGELES LAKERS,0,2005,0,-1,1,97
PHILADELPHIA 76ERS,MIAMI HEAT,0,2005,0,1,-1,96
ATLANTA HAWKS,NEW ORLEANS/OKLAHOMA CITY HORNETS,0,2005,0,-1,0,92
GOLDEN STATE WARRIORS,PORTLAND TRAIL BLAZERS,0,2005,0,0,0,91
WASHINGTON WIZARDS,NEW JERSEY NETS,0,2005,-1,1,0,83
NEW ORLEANS/OKLAHOMA CITY HORNETS,ORLANDO MAGIC,0,2005,0,0,0,98
PHOENIX SUNS,SAN ANTONIO SPURS,0,2005,0,-1,0,91
MEMPHIS GRIZZLIES,UTAH JAZZ,0,2005,0,0,1,80
MEMPHIS GRIZZLIES,DENVER NUGGETS,0,2005,0,-1,0,83
CHICAGO BULLS,LOS ANGELES LAKERS,0,2005,0,0,0,96
SACRAMENTO KINGS,SEATTLE SUPERSONICS,0,2005,0,0,0,104
MIAMI HEAT,TORONTO RAPTORS,0,2005,0,0,0,94
NEW JERSEY NETS,GOLDEN STATE WARRIORS,0,2005,0,1,0,97
SAN ANTONIO SPURS,SACRAMENTO KINGS,0,2005,0,1,0,96
BOSTON CELTICS,CLEVELAND CAVALIERS,0,2005,1,0,-1,93
HOUSTON ROCKETS,DALLAS MAVERICKS,0,2005,0,1,-1,93
TORONTO RAPTORS,PHOENIX SUNS,0,2005,0,1,-1,82
UTAH JAZZ,SEATTLE SUPERSONICS,0,2005,0,-1,0,93
DENVER NUGGETS,WASHINGTON WIZARDS,0,2005,0,1,-1,108
DENVER NUGGETS,DETROIT PISTONS,0,2005,-1,0,0,89
PHOENIX SUNS,HOUSTON ROCKETS,0,2005,0,0,0,100
TORONTO RAPTORS,LOS ANGELES CLIPPERS,0,2005,0,0,-1,100
PORTLAND TRAIL BLAZERS,MIAMI HEAT,0,2005,0,0,-1,79
WASHINGTON WIZARDS,ORLANDO MAGIC,0,2005,-1,0,0,83
NEW JERSEY NETS,SACRAMENTO KINGS,0,2005,0,0,0,105
CHARLOTTE BOBCATS,BOSTON CELTICS,0,2005,0,0,0,89
MILWAUKEE BUCKS,MINNESOTA TIMBERWOLVES,0,2005,0,0,0,91
PORTLAND TRAIL BLAZERS,ORLANDO MAGIC,0,2005,0,0,0,89
GOLDEN STATE WARRIORS,UTAH JAZZ,0,2005,0,1,-1,94
WASHINGTON WIZARDS,CHARLOTTE BOBCATS,0,2005,0,0,0,82
MINNESOTA TIMBERWOLVES,CLEVELAND CAVALIERS,0,2005,0,-1,0,89
MEMPHIS GRIZZLIES,DALLAS MAVERICKS,0,2005,0,0,0,112
TORONTO RAPTORS,GOLDEN STATE WARRIORS,0,2005,0,0,0,91
PHILADELPHIA 76ERS,NEW YORK KNICKS,0,2005,0,0,0,102
NEW ORLEANS/OKLAHOMA CITY HORNETS,SEATTLE SUPERSONICS,0,2005,0,-1,1,105
NEW JERSEY NETS,LOS ANGELES LAKERS,0,2005,0,1,-1,102
ORLANDO MAGIC,BOSTON CELTICS,0,2005,0,1,-1,87
ATLANTA HAWKS,HOUSTON ROCKETS,0,2005,0,1,-1,85
PORTLAND TRAIL BLAZERS,PHILADELPHIA 76ERS,0,2005,0,1,-1,83
CHARLOTTE BOBCATS,SACRAMENTO KINGS,0,2005,-1,0,1,92
PHILADELPHIA 76ERS,BOSTON CELTICS,0,2005,0,-1,0,103
INDIANA PACERS,PHOENIX SUNS,0,2005,-1,0,0,91
SAN ANTONIO SPURS,DALLAS MAVERICKS,0,2005,0,0,0,92
LOS ANGELES LAKERS,UTAH JAZZ,0,2005,0,0,0,105
CHICAGO BULLS,BOSTON CELTICS,0,2005,0,0,0,106
MINNESOTA TIMBERWOLVES,LOS ANGELES LAKERS,0,2005,0,0,1,113
INDIANA PACERS,PORTLAND TRAIL BLAZERS,0,2005,0,0,0,98
MIAMI HEAT,SACRAMENTO KINGS,0,2005,0,0,0,98
CLEVELAND CAVALIERS,SEATTLE SUPERSONICS,0,2005,0,0,0,108
MILWAUKEE BUCKS,WASHINGTON WIZARDS,0,2005,0,-1,1,105
DETROIT PISTONS,CHICAGO BULLS,0,2005,0,0,0,92
NEW ORLEANS/OKLAHOMA CITY HORNETS,DALLAS MAVERICKS,0,2005,0,-1,0,88
MEMPHIS GRIZZLIES,HOUSTON ROCKETS,0,2005,-1,0,0,90
CLEVELAND CAVALIERS,LOS ANGELES CLIPPERS,0,2005,0,0,-1,90
ORLANDO MAGIC,MILWAUKEE BUCKS,0,2005,0,0,0,84
TORONTO RAPTORS,NEW JERSEY NETS,0,2005,0,0,-1,95
PHILADELPHIA 76ERS,SAN ANTONIO SPURS,0,2005,0,-1,0,91
BOSTON CELTICS,NEW YORK KNICKS,0,2005,0,0,0,102
ATLANTA HAWKS,PHOENIX SUNS,0,2005,0,0,0,94
MINNESOTA TIMBERWOLVES,SACRAMENTO KINGS,0,2005,0,0,0,85
SAN ANTONIO SPURS,ORLANDO MAGIC,0,2005,0,0,0,110
BOSTON CELTICS,HOUSTON ROCKETS,0,2005,0,1,-1,73
DALLAS MAVERICKS,INDIANA PACERS,0,2005,0,-1,0,84
LOS ANGELES LAKERS,MILWAUKEE BUCKS,0,2005,0,1,-1,111
PORTLAND TRAIL BLAZERS,PHOENIX SUNS,0,2005,0,0,0,85
TORONTO RAPTORS,WASHINGTON WIZARDS,0,2005,-1,0,1,111
BOSTON CELTICS,NEW ORLEANS/OKLAHOMA CITY HORNETS,0,2005,0,0,0,101
CHICAGO BULLS,ORLANDO MAGIC,0,2005,0,0,0,102
MIAMI HEAT,SAN ANTONIO SPURS,0,2005,0,0,0,84
LOS ANGELES LAKERS,TORONTO RAPTORS,0,2005,0,0,0,102
ATLANTA HAWKS,UTAH JAZZ,0,2005,0,-1,0,83
WASHINGTON WIZARDS,INDIANA PACERS,0,2005,0,0,0,87
HOUSTON ROCKETS,SACRAMENTO KINGS,0,2005,0,0,0,106
LOS ANGELES LAKERS,CHICAGO BULLS,0,2005,0,0,0,93
DETROIT PISTONS,GOLDEN STATE WARRIORS,0,2005,1,-1,0,106
